name,state,region,city,latitude,longitude,cuisine,stars,min_price_EUR,max_price_EUR,url,foursquare_id,foursquare_name,foursquare_address
Kilian Stuba,Austria,Austria,Kleinwalsertal,47.34858,10.17114,Creative,1,90,120,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,50e86b67e4b097a7b607168a,Kilian Stuba,Österreich
Pfefferschiff,Austria,Austria,Hallwang,47.83787,13.07917,Classic cuisine,1,59,120,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,501ec7bfe4b0b87f23ea6dd6,Pfefferschiff,Salzburg
Esszimmer,Austria,Austria,Salzburg,47.80685,13.03409,Creative,1,45,128,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,4cec14ff678aa093081afcea,Esszimmer,Müllner Hauptstr. 33
Carpe Diem,Austria,Austria,Salzburg,47.80001,13.04006,Market cuisine,1,61,118,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,4bc48bca461576b03f088032,Carpe Diem Finest Fingerfood,Getreidegasse 50
Edvard,Austria,Austria,Wien,48.216503,16.36852,Modern cuisine,1,33,158,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,51bcab0d498e39a39ac36f7a,Edvard Restaurant,Schottenring 24
Das Loft,Austria,Austria,Wien,48.21272,16.37931,Modern cuisine,1,59,99,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,4d14c777bb488cface0c9ad4,Das LOFT,Praterstraße 1
Pramerl & the Wolf,Austria,Austria,Wien,48.20945,16.37174,Creative,1,65,95,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,56f2da9f498e703de957e846,Pramerl and the wolf,Pramergasse 21
Walter Bauer,Austria,Austria,Wien,48.20923,16.376720000000002,Classic cuisine,1,52,78,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,4cf8fc556cee236a52fce903,Walter Bauer,Sonnenfelsgasse 17
SHIKI,Austria,Austria,Wien,48.204067,16.37098,Japanese,1,92,125,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,54d3e867498eb8428f9a979c,Shiki,Krugerstraße 3
Tian,Austria,Austria,Wien,48.20513,16.37456,Vegetarian,1,89,127,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,4ed7c166cc21a6423fb685e7,TIAN restaurant Vienna - experience taste,Himmelpfortgasse 23
aend,Austria,Austria,Wien,48.18957,16.34115,Modern cuisine,1,39,120,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,5ada2358febf315132249d62,Aend,Mollardgasse 76
Le Ciel by Toni Mörwald,Austria,Austria,Wien,48.20209000000001,16.371560000000002,Classic cuisine,1,53,145,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,not found,not found,not found
Chez TJ,United States of America,California,South San Francisco,37.39468,-122.08044,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,4b0c9f4ef964a520464023e3,Chez TJ,938 Villa St
Protégé,United States of America,California,South San Francisco,37.427853000000006,-122.14362,Contemporary,1,45,67,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,5abae20c3362736f947617a2,Protégé,250 California Ave (Birch Street)
Madera,United States of America,California,San Francisco,37.42014,-122.21151,Contemporary,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,4a71f2c0f964a520f2d91fe3,Madera,2825 Sand Hill Rd
The Village Pub,United States of America,California,San Francisco,37.42897,-122.25178,Contemporary,1,45,67,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,43b40d12f964a520b62c1fe3,The Village Pub,2967 Woodside Rd (at Whiskey Hill Rd)
Plumed Horse,United States of America,California,South San Francisco,37.25648,-122.03537,Contemporary,1,67,135,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,49ca98f2f964a520c4581fe3,Plumed Horse,14555 Big Basin Way (at 4th St)
Wakuriya,United States of America,California,San Francisco,37.52114,-122.3366,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,4b108551f964a520277223e3,Wakuriya,115 De Anza Blvd
Sushi Yoshizumi,United States of America,California,San Francisco,37.565075,-122.3211,Japanese,1,67,135,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,55331866498e4b7428e9e7a2,Sushi Yoshizumi,325 E 4th Ave (B Street)
Rasa,United States of America,California,San Francisco,37.577522,-122.345985,Indian,1,22,45,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,544d9a12498e300a7395dc70,Rasa,209 Park Rd (Howard Ave)
Maum,United States of America,California,South San Francisco,37.72669000000001,-122.41421499999998,Korean,1,67,135,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,4c966b2df7cfa1cde415c615,Berkeley Maum Meditation,1312 9th St
Al's Place,United States of America,California,San Francisco,37.748924,-122.42013,Californian,1,22,45,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,54ab120a498eea9b59f671a1,Al's Place,1499 Valencia St (at 26th St)
