,name,latitude,longitude,city,region,cuisine,url,stars,min_price_EUR,max_price_EUR
0,Kilian Stuba,47.34858,10.17114,Kleinwalsertal,Austria,Creative,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1,90.0,120.0
1,Pfefferschiff,47.83787,13.07917,Hallwang,Austria,Classic cuisine,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1,59.0,120.0
2,Esszimmer,47.80685,13.034089999999999,Salzburg,Austria,Creative,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1,45.0,128.0
3,Carpe Diem,47.80001,13.04006,Salzburg,Austria,Market cuisine,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1,61.0,118.0
4,Edvard,48.216503,16.36852,Wien,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,1,33.0,158.0
5,Das Loft,48.212720000000004,16.37931,Wien,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1,59.0,99.0
6,Pramerl & the Wolf,48.20945,16.37174,Wien,Austria,Creative,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1,65.0,95.0
7,Walter Bauer,48.20923,16.376720000000002,Wien,Austria,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1,52.0,78.0
8,SHIKI,48.204066999999995,16.37098,Wien,Austria,Japanese,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1,92.0,125.0
9,Tian,48.20513,16.37456,Wien,Austria,Vegetarian,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1,89.0,127.0
10,aend,48.18957,16.34115,Wien,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1,39.0,120.0
11,Le Ciel by Toni Mörwald,48.202090000000005,16.371560000000002,Wien,Austria,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1,53.0,145.0
12,Chez TJ,37.39468,-122.08044,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1,67.97258620283382,135.94517240566765
13,Protégé,37.427853000000006,-122.14362,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1,45.315057468555885,67.97258620283382
14,Madera,37.42014,-122.21151,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,1,45.315057468555885,67.97258620283382
15,The Village Pub,37.42897,-122.25178000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,1,45.315057468555885,67.97258620283382
16,Plumed Horse,37.256479999999996,-122.03537,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,1,67.97258620283382,135.94517240566765
17,Wakuriya,37.52114,-122.3366,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,1,67.97258620283382,135.94517240566765
18,Sushi Yoshizumi,37.565075,-122.3211,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,1,67.97258620283382,135.94517240566765
19,Rasa,37.577521999999995,-122.34598500000001,San Francisco,California,Indian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,1,22.657528734277943,45.315057468555885
20,Maum,37.726690000000005,-122.41421499999998,South San Francisco,California,Korean,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,1,67.97258620283382,135.94517240566765
21,Al's Place,37.748924,-122.42013,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,1,22.657528734277943,45.315057468555885
22,Omakase,37.77077,-122.40298,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,1,67.97258620283382,135.94517240566765
23,Luce,37.781940000000006,-122.40498000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1,45.315057468555885,67.97258620283382
24,Birdsong,37.779495000000004,-122.41048,San Francisco,California,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1,67.97258620283382,135.94517240566765
25,In Situ,37.785633000000004,-122.40113000000001,San Francisco,California,International,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1,67.97258620283382,135.94517240566765
26,Mourad,37.78695,-122.39986999999999,San Francisco,California,Moroccan,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,1,45.315057468555885,67.97258620283382
27,Hashiri,37.783062,-122.40754,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1,67.97258620283382,135.94517240566765
28,Angler,37.793167,-122.39213000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1,41.776862812905804,87.03513086022042
29,Rich Table,37.774914,-122.42271000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1,45.315057468555885,67.97258620283382
30,Kin Khao,37.785267,-122.40951000000001,San Francisco,California,Thai,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1,22.657528734277943,45.315057468555885
31,Michael Mina,37.793490000000006,-122.399574,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1,67.97258620283382,135.94517240566765
32,Sons & Daughters,37.79037,-122.40916999999999,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1,67.97258620283382,135.94517240566765
33,Mister Jiu's,37.79371,-122.406654,San Francisco,California,Chinese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1,45.315057468555885,67.97258620283382
34,Nico,37.795803,-122.40333000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,1,45.315057468555885,67.97258620283382
35,jū-ni,37.776720000000005,-122.43886,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1,67.97258620283382,135.94517240566765
36,Keiko à Nob Hill,37.793106,-122.41445,San Francisco,California,Fusion,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1,67.97258620283382,135.94517240566765
37,The Progress,37.78371,-122.43281999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1,45.315057468555885,67.97258620283382
38,State Bird Provisions,37.783737,-122.43283000000001,San Francisco,California,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1,22.657528734277943,45.315057468555885
39,Octavia,37.787857,-122.42708999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1,45.315057468555885,67.97258620283382
40,SPQR,37.78732,-122.43375,San Francisco,California,Italian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1,45.315057468555885,67.97258620283382
41,Lord Stanley,37.79592,-122.42208000000001,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,1,45.315057468555885,67.97258620283382
42,Kinjo,37.79699,-122.422005,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1,67.97258620283382,135.94517240566765
